ID,RSU Code,SDU Billing Rates,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,1JL-0,KOL 1 Year Fix,KOL,,,SER-FSDU-CFT-6F,29,12240,464
,,,,,,SER-FSDU-CFT-12F,29,5204,464
,,,,,,SER-FSDU-CFT-24F,29,1336,464
,,,,,,SER-FSDU-CFT-48F,29,0,464
,KRC-0,KOL 1 Year Fix,KOL,,,SER-FSDU-CFT-6F,162,206652,2592
,,,,,,SER-FSDU-CFT-12F,162,128063,2592
,,,,,,SER-FSDU-CFT-24F,162,40342,2592
,,,,,,SER-FSDU-CFT-48F,162,0,2592
,0B7-0,KOL 1 Year Fix,KOL,,,SER-FSDU-CFT-6F,218,5819,3448
,,,,,,SER-FSDU-CFT-12F,218,3417,3448
,,,,,,SER-FSDU-CFT-24F,218,1002,3448
,,,,,,SER-FSDU-CFT-48F,218,0,3448
,BG0-0,KOL 1 Year Fix,KOL,,,SER-FSDU-CFT-6F,75,206652,1200
,,,,,,SER-FSDU-CFT-12F,75,128063,1200
,,,,,,SER-FSDU-CFT-24F,75,40342,1200
,,,,,,SER-FSDU-CFT-48F,75,0,1200
,HN8-0,KOL 1 Year Fix,KOL,,,SER-FSDU-CFT-6F,93,0,1912
,,,,,,SER-FSDU-CFT-12F,93,15020,1912
,,,,,,SER-FSDU-CFT-24F,93,0,1912
,,,,,,SER-FSDU-CFT-48F,93,0,1912
,K38-0,KOL 1 Year Fix,KOL,,,SER-FSDU-CFT-6F,97,206652,1552
,,,,,,SER-FSDU-CFT-12F,97,128063,1552
,,,,,,SER-FSDU-CFT-24F,97,40342,1552
,,,,,,SER-FSDU-CFT-48F,97,0,1552
,04O-0,M&G 1 Year Fix,M&G,,,SER-FSDU-CFT-6F,142,0,2094
,,,,,,SER-FSDU-CFT-12F,142,0,2094
,,,,,,SER-FSDU-CFT-24F,142,0,2094
,,,,,,SER-FSDU-CFT-48F,142,0,2094
,K0E-0,M&G 1 Year Fix,M&G,,,SER-FSDU-CFT-6F,168,0,2508
,,,,,,SER-FSDU-CFT-12F,168,0,2508
,,,,,,SER-FSDU-CFT-24F,168,150000,2508
,,,,,,SER-FSDU-CFT-48F,168,0,2508
,M0T-0,M&G 1 Year Fix,M&G,,,SER-FSDU-CFT-6F,49,0,824
,,,,,,SER-FSDU-CFT-12F,49,0,824
,,,,,,SER-FSDU-CFT-24F,49,0,824
,,,,,,SER-FSDU-CFT-48F,49,0,824
,S6J-0,M&G 1 Year Fix,M&G,,,SER-FSDU-CFT-6F,136,0,1604
